Result_ID,User_ID,Quiz_ID,Q1_Answer,Q2_Answer,Q3_Answer,Q4_Answer,Q5_Answer,Q6_Answer,Q7_Answer,Q8_Answer,Q9_Answer,Q10_Answer,Q11_Answer,Q12_Answer,Q13_Answer,Q14_Answer,Q15_Answer,Q16_Answer,Q17_Answer,Q18_Answer,Q19_Answer,Q20_Answer,Q21_Answer,Q22_Answer,Architect_Score,Alchemist_Score,Blurred_Score,Neutral_Score,Final_DNA_Type,Subtype,Default_Type,Awareness_Percentage,Overall_Score,Date_Created
54,student-master-brandscaling-com,1,A,A,B,B,A,B,C,B,B,A,B,C,A,B,B,A,A,A,A,A,A,B,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-09 15:07:41.075
53,student-1751643727108,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-04 15:43:04.603
52,student-1751643508913,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-04 15:39:03.079
51,student-1751643189822,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-04 15:33:44.297
50,student-1751642172814,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-04 15:17:00.341
49,student-1751642172814,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-04 15:17:00.139
48,student-1751640343029,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-04 14:47:03.095
47,student-1751640343029,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-04 14:47:02.83
46,student-1751638116176,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-04 14:09:35.765
45,student-1751631207725,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-04 12:13:56.493
