Question_ID,Question_Text,Option_A_Text,Option_A_Type,Option_A_Subtype,Option_B_Text,Option_B_Type,Option_B_Subtype,Option_C_Text,Option_C_Type,Option_C_Subtype,Option_D_Text,Option_D_Type,Option_D_Subtype,Category,Block
1,"You're going away for the weekend. How do you prepare the night before?","I mentally run through what I need and pack once — essentials are covered.",architect,"","I write a full list, check everything off, repack a few times, still feel uneasy.",blurred,"","I throw things in last minute and trust it'll be fine.",alchemist,"","I pack, unpack, and get overwhelmed deciding what I even need.",blurred,"",default_dna,Q1-Q6
2,"A close friend unintentionally hurts your feelings. How do you respond?","I won't say anything — they'll figure it out or I'll quietly move on.",architect,"","I'll express it — maybe now, maybe later — but it will come out.",alchemist,"","I react suddenly, then second-guess if I was overdramatic.",blurred,"","I feel stuck about whether I should say something or not.",blurred,"",default_dna,Q1-Q6
3,"You walk into a room full of strangers. What do you do?","I observe quietly, scan the room, and engage when it makes strategic sense.",architect,"","I tune into the energy — I might light up the room or stay quiet, depending how I feel.",alchemist,"","I pause and wait for someone to approach — I'm not sure how to show up.",neutral,"","I keep switching between acting confident and feeling unsure — I want to be seen but don't know how.",blurred,"",default_dna,Q1-Q6
4,"You've committed to waking up at 6am for a week. Day 3, you're exhausted. What happens?","I stick to it. Fatigue doesn't override commitment unless it's serious.",architect,"","I ask myself if the reason still matters — if not, I adjust without guilt.",alchemist,"","I sleep in, feel bad, and try again tomorrow.",neutral,"","I feel torn — I want to keep going but can't force myself either.",blurred,"",default_dna,Q1-Q6
5,"You've completed a project and it performs well. How do you feel about it?","If the result is strong, I'm satisfied — no need to change anything.",architect,"","I immediately wonder how it could have been even better.",alchemist,"","I feel good but uneasy — maybe I missed something important.",blurred,"","I feel proud for a moment, then wonder if I was just lucky.",blurred,"",default_dna,Q1-Q6
6,"You're pursuing a goal no one else has achieved. How do you think about it?","I need to see a path or example — otherwise I'm not sure it's achievable.",architect,"","Even if no one's done it, I know it's possible — I just need the steps.",alchemist,"","I doubt myself, but I still try in case it works out.",blurred,"","I switch between confidence and confusion depending on the day.",blurred,"",default_dna,Q1-Q6
7,"You're about to launch a new offer in 2 weeks. How would your opposite decide what to focus on first?","Identify the core bottlenecks and map out the sequence to remove them",architect,"","Jump between setup, content, and branding — depending on what feels most urgent",blurred,"","Ask others what they think should happen first and go with consensus",neutral,"","None of these reflect how my opposite would operate",alchemist,"",awareness,Q7-Q12
8,"A peer gives you tough feedback on your recent launch. How would your opposite respond?","Shrug it off publicly but internalize it deeply and avoid the peer next time",blurred,"","Say thank you, then try to adjust only the parts you agree with emotionally",neutral,"","Break down the feedback, sort it into categories, and adjust where it makes sense",architect,"","None of these reflect how my opposite would operate",alchemist,"",awareness,Q7-Q12
9,"You've brought on a new team member who isn't delivering as expected. How would your opposite handle it?","Overcompensate by taking on their tasks and quietly hoping they improve",blurred,"","Give vague feedback while focusing on keeping morale high",neutral,"","Review expectations, pinpoint where the breakdown occurred, and restructure their workflow",architect,"","None of these reflect how my opposite would operate",alchemist,"",awareness,Q7-Q12
10,"A long-term partnership feels exciting but unclear. How would your opposite approach the next step?","Wait to see how things evolve and trust it will clarify naturally",neutral,"","Say yes quickly, then figure it out as they go",blurred,"","Clarify objectives, roles, and measurable outcomes before committing",architect,"","None of these reflect how my opposite would operate",alchemist,"",awareness,Q7-Q12
11,"A team member keeps missing deadlines. How would your opposite handle this?","Set up a review system to track accountability and outline next steps",architect,"","Avoid confrontation and work around them instead",blurred,"","Assume they need more motivation and give them a pep talk",neutral,"","None of these reflect how my opposite would operate",alchemist,"",awareness,Q7-Q12
12,"You just wrapped a high-revenue campaign. What would your opposite focus on next?","Break down what worked and rebuild the system for repeatability",architect,"","Start planning a new direction without reviewing results",blurred,"","Celebrate with the team and move on instinctively",neutral,"","None of these reflect how my opposite would operate",alchemist,"",awareness,Q7-Q12
13,"You've just had an idea you're excited about, but you're not sure how to begin. What's your first move?","I outline the steps from A to Z and start mapping the tools or systems I'd need to deliver it properly.",architect,internal-analyzer,"I write down everything I'd want it to include — even if I don't know how I'll get there yet.",architect,systemised-builder,"I sketch out a basic version and start testing how it might work.",architect,ultimate-strategist,"I pause to define the real problem it solves before I do anything else.",architect,master-strategist,subtype,Q13-Q18
14,"You've written a rough outline for a course or product. What do you naturally do next?","I check if each part connects logically and improve the structure before building anything.",architect,internal-analyzer,"I open up a tool and start creating the first few sections to see how it feels in action.",architect,systemised-builder,"I make a checklist of every component and start working through it step-by-step.",architect,ultimate-strategist,"I stop to re-question the core idea: 'Is this still the right thing to build?'",architect,master-strategist,subtype,Q13-Q18
